"Ürün Grup ID","İsim","Html:Beden Rehberi","Çoklu Seçim:Elbise Modeli","Çoklu Seçim:Kumaş Tipi"
"0122fc20-0024-4ae0-b9aa-16469d205b7f","Düşük Kollu Pilise Etek Detaylı Uzun Elbise","<table>
  <tbody>
    <tr>
      <th>Beden</th>
      <th>Göğüs</th>
      <th>Bel</th>
      <th>Basen</th>
    </tr>
    <tr data-size=""38""><td>38</td><td>90</td><td>72</td><td>-</td></tr>
    <tr data-size=""40""><td>40</td><td>94</td><td>76</td><td>-</td></tr>
    <tr data-size=""42""><td>42</td><td>98</td><td>80</td><td>-</td></tr>
  </tbody>
</table>",,
"0177ad08-d824-42fc-bd09-88250cadb0b2","Çapraz Drapeli İşleme Detaylı Straplez Uzun Elbise","<table>
  <tbody>
    <tr>
      <th>Beden</th>
      <th>Göğüs</th>
      <th>Bel</th>
      <th>Basen</th>
    </tr>
    <tr data-size=""38""><td>38</td><td>80</td><td>68</td><td>-</td></tr>
    <tr data-size=""40""><td>40</td><td>84</td><td>74</td><td>-</td></tr>
    <tr data-size=""42""><td>42</td><td>88</td><td>80</td><td>-</td></tr>
  </tbody>
</table>","Uzun Abiye;Straplez Abiye;Yırtmaçlı Abiye","Şifon & Tül Abiye;Krep Abiye"
"02f331ef-7a3a-4ac1-989c-4c50723882ab","Tül Üzerine İnci ve Taş İşleme Detaylı Straplez Midi Elbise","<table>
  <tbody>
    <tr>
      <th>Beden</th>
      <th>Göğüs</th>
      <th>Bel</th>
      <th>Basen</th>
    </tr>
    <tr data-size=""38""><td>38</td><td>80</td><td>72</td><td>82</td></tr>
    <tr data-size=""40""><td>40</td><td>84</td><td>76</td><td>88</td></tr>
    <tr data-size=""42""><td>42</td><td>88</td><td>80</td><td>94</td></tr>
    <tr data-size=""44""><td>44</td><td>92</td><td>84</td><td>100</td></tr>
  </tbody>
</table>","Midi Abiye;Straplez Abiye;Yırtmaçlı Abiye","Şifon & Tül Abiye"
"03c6486f-0fc3-434f-a0df-fe2ed0248b07","Sırt İp Bağlamalı Yırtmaçlı Straplez Saten Uzun Elbise","<table>
  <tbody>
    <tr>
      <th>Beden</th>
      <th>Göğüs</th>
      <th>Bel</th>
      <th>Basen</th>
    </tr>
    <tr data-size=""36""><td>36</td><td>68</td><td>62</td><td>78</td></tr>
    <tr data-size=""38""><td>38</td><td>74</td><td>66</td><td>82</td></tr>
  </tbody>
</table>","Uzun Abiye;Straplez Abiye;Yırtmaçlı Abiye","Saten Abiye"
"06671ab8-6510-47de-95bf-a4ca2be65aef","Saten Erkek Yakalı Düğme Detaylı Kolsuz Tulum","<table>
  <tbody>
    <tr>
      <th>Beden</th>
      <th>Göğüs</th>
      <th>Bel</th>
      <th>Basen</th>
    </tr>
    <tr data-size=""38""><td>38</td><td>90</td><td>72</td><td>100</td></tr>
    <tr data-size=""40""><td>40</td><td>96</td><td>76</td><td>102</td></tr>
    <tr data-size=""42""><td>42</td><td>102</td><td>80</td><td>104</td></tr>
    <tr data-size=""44""><td>44</td><td>102</td><td>84</td><td>106</td></tr>
    <tr data-size=""46""><td>46</td><td>114</td><td>88</td><td>108</td></tr>
  </tbody>
</table>","Büyük Beden Abiye;Uzun Abiye","Saten Abiye;Krep Abiye"
"0851ea9c-753a-450b-8ee1-d9ce9063cdba","Krep Kumaş Pilise Etek ve Şal Detaylı Korseli Uzun Elbise","<table>
  <tbody>
    <tr>
      <th>Beden</th>
      <th>Göğüs</th>
      <th>Bel</th>
      <th>Basen</th>
    </tr>
    <tr data-size=""38""><td>38</td><td>80</td><td>72</td><td>-</td></tr>
    <tr data-size=""40""><td>40</td><td>84</td><td>76</td><td>-</td></tr>
    <tr data-size=""42""><td>42</td><td>88</td><td>80</td><td>-</td></tr>
    <tr data-size=""44""><td>44</td><td>92</td><td>84</td><td>-</td></tr>
    <tr data-size=""46""><td>46</td><td>96</td><td>88</td><td>-</td></tr>
  </tbody>
</table>",,
"093d4ca1-15b9-4576-9b8a-0e47271c12cd","Straplez Krep Kumaş Etekte Renk Detaylı Uzun Elbise","<table>
  <tbody>
    <tr>
      <th>Beden</th>
      <th>Göğüs</th>
      <th>Bel</th>
      <th>Basen</th>
    </tr>
    <tr data-size=""38""><td>38</td><td>74</td><td>72</td><td>84</td></tr>
    <tr data-size=""40""><td>40</td><td>76</td><td>74</td><td>86</td></tr>
    <tr data-size=""42""><td>42</td><td>78</td><td>76</td><td>88</td></tr>
    <tr data-size=""44""><td>44</td><td>80</td><td>78</td><td>90</td></tr>
    <tr data-size=""46""><td>46</td><td>82</td><td>80</td><td>92</td></tr>
  </tbody>
</table>","Büyük Beden Abiye;Uzun Abiye;Straplez Abiye","Şifon & Tül Abiye;Krep Abiye"
"0a516b1e-a872-43ce-b36a-0c7869f16595","Drapeli Straplez Saten Uzun Elbise","<table>
  <tbody>
    <tr>
      <th>Beden</th>
      <th>Göğüs</th>
      <th>Bel</th>
      <th>Basen</th>
    </tr>
    <tr data-size=""38""><td>38</td><td>76</td><td>66</td><td>74</td></tr>
    <tr data-size=""40""><td>40</td><td>80</td><td>70</td><td>78</td></tr>
    <tr data-size=""42""><td>42</td><td>84</td><td>74</td><td>82</td></tr>
  </tbody>
</table>",,
"0a8d9c22-9143-49bc-a140-451365b05a20","Payetli Yırtmaç Detaylı Straplez Uzun Elbise","<table>
  <tbody>
    <tr>
      <th>Beden</th>
      <th>Göğüs</th>
      <th>Bel</th>
      <th>Basen</th>
    </tr>
    <tr data-size=""36""><td>36</td><td>74</td><td>60</td><td>80</td></tr>
    <tr data-size=""38""><td>38</td><td>80</td><td>64</td><td>82</td></tr>
    <tr data-size=""40""><td>40</td><td>86</td><td>68</td><td>84</td></tr>
  </tbody>
</table>",,
"0c02928f-016d-41a0-964e-0c5cb2b93958","Sandy Kumaş İp Askılı Drapeli Uzun Büyük Beden Elbise","<table>
  <tbody>
    <tr>
      <th>Beden</th>
      <th>Göğüs</th>
      <th>Bel</th>
      <th>Basen</th>
    </tr>
    <tr data-size=""44""><td>44</td><td>84</td><td>80</td><td>-</td></tr>
    <tr data-size=""46""><td>46</td><td>90</td><td>84</td><td>-</td></tr>
    <tr data-size=""48""><td>48</td><td>96</td><td>88</td><td>-</td></tr>
    <tr data-size=""50""><td>50</td><td>102</td><td>92</td><td>-</td></tr>
  </tbody>
</table>","Büyük Beden Abiye;Uzun Abiye;Askılı Abiye","Sandy Abiye"
