"Ürün Grup ID","Varyant ID","İsim","Varyant Tip 1","Varyant Değer 1","Varyant Tip 2","Varyant Değer 2","SKU","Barkod Listesi","Html:Beden Rehberi","Çoklu Seçim:Elbise Modeli","Çoklu Seçim:Kumaş Tipi"
"0122fc20-0024-4ae0-b9aa-16469d205b7f","22769b93-2833-416b-ab61-bf1df2a021ea","Düşük Kollu Pilise Etek Detaylı Uzun Elbise","Renk","KREM RENGİ","Beden","38","GC-RK-ELB-5346-MX-KRM-38",,,,
"0122fc20-0024-4ae0-b9aa-16469d205b7f","de4b2fef-db98-44e0-b106-1078f76673ad","Düşük Kollu Pilise Etek Detaylı Uzun Elbise","Renk","KREM RENGİ","Beden","40","GC-RK-ELB-5346-MX-KRM-40",,,,
"0122fc20-0024-4ae0-b9aa-16469d205b7f","e732b49d-0526-482d-9615-c8c593f95019","Düşük Kollu Pilise Etek Detaylı Uzun Elbise","Renk","KREM RENGİ","Beden","42","GC-RK-ELB-5346-MX-KRM-42",,,,
"0122fc20-0024-4ae0-b9aa-16469d205b7f","971b0d5c-be5f-4cc8-8fe7-0f1ddf6dd042","Düşük Kollu Pilise Etek Detaylı Uzun Elbise","Renk","BORDO","Beden","38","GC-RK-ELB-5346-MX-BRD-38",,,,
"0122fc20-0024-4ae0-b9aa-16469d205b7f","91040e70-ed45-408b-ae5d-44072320b340","Düşük Kollu Pilise Etek Detaylı Uzun Elbise","Renk","BORDO","Beden","40","GC-RK-ELB-5346-MX-BRD-40",,,,
"0122fc20-0024-4ae0-b9aa-16469d205b7f","0b0c7bd1-ba26-41c2-a214-16ae54d74a01","Düşük Kollu Pilise Etek Detaylı Uzun Elbise","Renk","BORDO","Beden","42","GC-RK-ELB-5346-MX-BRD-42",,,,
"0122fc20-0024-4ae0-b9aa-16469d205b7f","511c7619-0551-4123-8656-3cbb7aa85600","Düşük Kollu Pilise Etek Detaylı Uzun Elbise","Renk","SİYAH","Beden","38","GC-RK-ELB-5346-MX-SYH-38",,,,
"0122fc20-0024-4ae0-b9aa-16469d205b7f","a665a038-d39c-4df3-8cca-3bd557cd94ce","Düşük Kollu Pilise Etek Detaylı Uzun Elbise","Renk","SİYAH","Beden","40","GC-RK-ELB-5346-MX-SYH-40",,,,
"0122fc20-0024-4ae0-b9aa-16469d205b7f","d775a3b6-a5cc-458a-b1bd-e8996c5d8a85","Düşük Kollu Pilise Etek Detaylı Uzun Elbise","Renk","SİYAH","Beden","42","GC-RK-ELB-5346-MX-SYH-42",,,,
"0177ad08-d824-42fc-bd09-88250cadb0b2","a882a1ce-35ae-46c0-80fe-57bd28b96ef9","Çapraz Drapeli İşleme Detaylı Straplez Uzun Elbise","Renk","KOYU YEŞİL","Beden","38","GC-DA-ELB-7058-MX-KYL-38",,,,
"0177ad08-d824-42fc-bd09-88250cadb0b2","8a0b702f-5ca1-44d2-abd3-dc67a478185e","Çapraz Drapeli İşleme Detaylı Straplez Uzun Elbise","Renk","KOYU YEŞİL","Beden","40","GC-DA-ELB-7058-MX-KYL-40",,,,
"0177ad08-d824-42fc-bd09-88250cadb0b2","0d382ab8-62b4-446b-b9d0-415a18299689","Çapraz Drapeli İşleme Detaylı Straplez Uzun Elbise","Renk","KOYU YEŞİL","Beden","42","GC-DA-ELB-7058-MX-KYL-42",,,,
"0177ad08-d824-42fc-bd09-88250cadb0b2","2d41e5f3-5f0d-4239-b804-ce0236c9b563","Çapraz Drapeli İşleme Detaylı Straplez Uzun Elbise","Renk","TAŞ RENGİ","Beden","38","GC-DA-ELB-7058-MX-TS-38",,,,
"0177ad08-d824-42fc-bd09-88250cadb0b2","e93091ca-03f8-4d4f-bcb0-b9ef0e982a9e","Çapraz Drapeli İşleme Detaylı Straplez Uzun Elbise","Renk","TAŞ RENGİ","Beden","40","GC-DA-ELB-7058-MX-TS-40",,,,
"0177ad08-d824-42fc-bd09-88250cadb0b2","128014bd-7196-44f0-98b2-cbf9c4b838e8","Çapraz Drapeli İşleme Detaylı Straplez Uzun Elbise","Renk","TAŞ RENGİ","Beden","42","GC-DA-ELB-7058-MX-TS-42",,,,
"0177ad08-d824-42fc-bd09-88250cadb0b2","fd4a99ed-c70e-4680-bfec-1fe6337c2833","Çapraz Drapeli İşleme Detaylı Straplez Uzun Elbise","Renk","İNDİGO","Beden","38","GC-DA-ELB-7058-MX-IN-38",,,,
"0177ad08-d824-42fc-bd09-88250cadb0b2","6b1e04dc-1ad1-44a3-9c9e-b866faa63838","Çapraz Drapeli İşleme Detaylı Straplez Uzun Elbise","Renk","İNDİGO","Beden","40","GC-DA-ELB-7058-MX-IN-40",,,,
"0177ad08-d824-42fc-bd09-88250cadb0b2","ccef1eb0-b788-4084-bef3-b26317282d87","Çapraz Drapeli İşleme Detaylı Straplez Uzun Elbise","Renk","İNDİGO","Beden","42","GC-DA-ELB-7058-MX-IN-42",,,,
"02f331ef-7a3a-4ac1-989c-4c50723882ab","97e873c5-955f-4e44-8856-ac6c1a805307","Tül Üzerine İnci ve Taş İşleme Detaylı Straplez Midi Elbise","Renk","EKRU","Beden","38","GC-AA-ELB-6929-MD-EKR-38",,,,
"02f331ef-7a3a-4ac1-989c-4c50723882ab","a4a3d5e5-46bd-4052-b198-c4e35f45f7e6","Tül Üzerine İnci ve Taş İşleme Detaylı Straplez Midi Elbise","Renk","EKRU","Beden","40","GC-AA-ELB-6929-MD-EKR-40",,,,
"02f331ef-7a3a-4ac1-989c-4c50723882ab","68b55a3b-fe90-48b7-a584-709f0958fcd3","Tül Üzerine İnci ve Taş İşleme Detaylı Straplez Midi Elbise","Renk","EKRU","Beden","42","GC-AA-ELB-6929-MD-EKR-42",,,,
"02f331ef-7a3a-4ac1-989c-4c50723882ab","6145edb1-16fb-49aa-8299-ba315c099f4d","Tül Üzerine İnci ve Taş İşleme Detaylı Straplez Midi Elbise","Renk","EKRU","Beden","44","GC-AA-ELB-6929-MD-EKR-44",,,,
"02f331ef-7a3a-4ac1-989c-4c50723882ab","e9fc5060-bef6-41e1-9b7e-95e423171139","Tül Üzerine İnci ve Taş İşleme Detaylı Straplez Midi Elbise","Renk","PEMBE","Beden","38","GC-AA-ELB-6929-MD-PMB-38",,,,
"02f331ef-7a3a-4ac1-989c-4c50723882ab","54e3fe9b-e0ed-4935-977c-7bda5910f6a4","Tül Üzerine İnci ve Taş İşleme Detaylı Straplez Midi Elbise","Renk","PEMBE","Beden","40","GC-AA-ELB-6929-MD-PMB-40",,,,
"02f331ef-7a3a-4ac1-989c-4c50723882ab","f3413b7f-b1f2-47e9-acfa-007fc5249251","Tül Üzerine İnci ve Taş İşleme Detaylı Straplez Midi Elbise","Renk","PEMBE","Beden","42","GC-AA-ELB-6929-MD-PMB-42",,,,
"02f331ef-7a3a-4ac1-989c-4c50723882ab","c8d44d4c-4ba2-446d-93ac-571e203f0258","Tül Üzerine İnci ve Taş İşleme Detaylı Straplez Midi Elbise","Renk","PEMBE","Beden","44","GC-AA-ELB-6929-MD-PMB-44",,,,
"03c6486f-0fc3-434f-a0df-fe2ed0248b07","5ccfcf8a-07c5-43d1-bce1-022496c07dae","Sırt İp Bağlamalı Yırtmaçlı Straplez Saten Uzun Elbise","Renk","KOYU İNDİGO","Beden","36","GC-DA-ELB-8015-MX-KIN-36",,,,
"03c6486f-0fc3-434f-a0df-fe2ed0248b07","3b621cf0-c2bd-4550-9d33-3be9b2d53688","Sırt İp Bağlamalı Yırtmaçlı Straplez Saten Uzun Elbise","Renk","KOYU İNDİGO","Beden","38","GC-DA-ELB-8015-MX-KIN-38",,,,
"03c6486f-0fc3-434f-a0df-fe2ed0248b07","b50648fa-9160-419d-8095-a8077b107b05","Sırt İp Bağlamalı Yırtmaçlı Straplez Saten Uzun Elbise","Renk","KOYU İNDİGO","Beden","40","GC-DA-ELB-8015-MX-KIN-40",,,,
"03c6486f-0fc3-434f-a0df-fe2ed0248b07","6399611c-1982-4433-b7a2-f8bcd3fd2d0e","Sırt İp Bağlamalı Yırtmaçlı Straplez Saten Uzun Elbise","Renk","KOYU İNDİGO","Beden","42","GC-DA-ELB-8015-MX-KIN-42",,,,
"03c6486f-0fc3-434f-a0df-fe2ed0248b07","61c532df-1b7e-40f1-a96e-bd837db3f4ad","Sırt İp Bağlamalı Yırtmaçlı Straplez Saten Uzun Elbise","Renk","PETROL YEŞİLİ","Beden","36","GC-DA-ELB-8015-MX-PYS-36",,,,
